Date,FII Buy,FII Sell,FII Net,DII Buy,DII Sell,DII Net,Source,Status
2024-01-25,43302.19,38232.31,5069.88,12353.83,8878.94,3474.89,Master 2006-2026,provisional
2024-01-29,22001.2,26265.6,-4264.4,14592.44,11371.1,3221.34,Master 2006-2026,provisional
2024-01-30,14446.61,16261.26,-1814.65,12666.88,11664.18,1002.7,Master 2006-2026,provisional
2024-01-31,25952.76,24212.61,1740.15,15596.89,13053.96,2542.93,Master 2006-2026,provisional
2024-02-01,19033.66,18721.02,312.64,12991.07,12118.58,872.49,Master 2006-2026,provisional
2024-02-02,15613.8,15385.32,228.48,14097.58,11634.42,2463.16,Master 2006-2026,provisional
2024-02-05,14560.84,13797.96,762.88,11869.08,13057.76,-1188.68,Master 2006-2026,provisional
2024-02-06,16366.95,16839.72,-472.77,13822.11,12725.85,1096.26,Master 2006-2026,provisional
2024-02-07,14727.26,16328.58,-1601.32,12012.32,11684.59,327.73,Master 2006-2026,provisional
2024-02-08,16241.59,20286.43,-4044.84,17291.78,11779.46,5512.32,Master 2006-2026,provisional
2024-02-09,14047.13,13716.81,330.32,12090.82,12512.69,-421.87,Master 2006-2026,provisional
2024-02-12,9178.87,8958.5,220.37,11183.9,9472.15,1711.75,Master 2006-2026,provisional
2024-02-13,13133.76,12900.15,233.61,9167.73,8893.79,273.94,Master 2006-2026,provisional
2024-02-14,12399.02,15027.28,-2628.26,12110.28,9212.3,2897.98,Master 2006-2026,provisional
2024-02-15,15021.09,13878.04,1143.05,11891.94,9615.01,2276.93,Master 2006-2026,provisional
2024-02-16,23871.05,23698.37,172.68,12165.87,10594.87,1571.0,Master 2006-2026,provisional
2024-02-19,,,0.0,8081.14,7628.44,452.7,Master 2006-2026,provisional
2024-02-20,15007.68,12034.18,2973.5,10665.07,9173.74,1491.33,Master 2006-2026,provisional
2024-02-21,17007.34,16613.63,393.71,10151.65,10563.22,-411.57,Master 2006-2026,provisional
2024-02-22,14613.14,14801.18,-188.04,10473.09,8649.41,1823.68,Master 2006-2026,provisional
2024-02-23,15622.39,14070.54,1551.85,8556.28,8379.6,176.68,Master 2006-2026,provisional
2024-02-26,12511.65,12768.01,-256.36,8526.82,8532.15,-5.33,Master 2006-2026,provisional
2024-02-27,18357.35,16301.38,2055.97,11803.41,8941.85,2861.56,Master 2006-2026,provisional
2024-02-28,11385.4,12774.14,-1388.74,10124.97,8297.52,1827.45,Master 2006-2026,provisional
2024-02-29,57371.12,53169.81,4201.31,11405.24,11635.45,-230.21,Master 2006-2026,provisional
2024-03-01,18241.9,16070.76,2171.14,11987.98,8173.45,3814.53,Master 2006-2026,provisional
2024-03-02,,,0.0,189.36,234.07,-44.71,Master 2006-2026,provisional
2024-03-04,13898.82,13910.85,-12.03,11963.11,8420.24,3542.87,Master 2006-2026,provisional
2024-03-05,14304.65,14526.0,-221.35,11888.65,10054.04,1834.61,Master 2006-2026,provisional
2024-03-06,19941.96,14257.59,5684.37,13638.83,11488.95,2149.88,Master 2006-2026,provisional
2024-03-07,26287.64,15699.03,10588.61,11886.95,9285.14,2601.81,Master 2006-2026,provisional
2024-03-11,23302.51,19357.0,3945.51,10787.26,7548.87,3238.39,Master 2006-2026,provisional
2024-03-12,15245.93,15361.53,-115.6,10478.38,8120.2,2358.18,Master 2006-2026,provisional
2024-03-13,34926.57,20344.22,14582.35,20267.9,11174.18,9093.72,Master 2006-2026,provisional
2024-03-14,21036.75,21150.99,-114.24,10729.35,10589.88,139.47,Master 2006-2026,provisional
2024-03-15,50330.25,49557.16,773.09,15254.61,15936.87,-682.26,Master 2006-2026,provisional
2024-03-18,11281.72,12448.39,-1166.67,10135.01,7874.13,2260.88,Master 2006-2026,provisional
2024-03-19,17223.87,15872.8,1351.07,16886.74,9437.26,7449.48,Master 2006-2026,provisional
2024-03-20,11257.59,13500.35,-2242.76,11532.02,8864.5,2667.52,Master 2006-2026,provisional
2024-03-21,14475.77,15802.73,-1326.96,12950.48,9741.61,3208.87,Master 2006-2026,provisional
2024-03-22,16805.4,20676.83,-3871.43,12729.17,8964.3,3764.87,Master 2006-2026,provisional
2024-03-26,20870.39,24040.98,-3170.59,14130.31,9105.95,5024.36,Master 2006-2026,provisional
2024-03-27,19964.98,15922.48,4042.5,26386.81,25189.2,1197.61,Master 2006-2026,provisional
2024-03-28,39847.77,37492.54,2355.23,12428.24,9736.72,2691.52,Master 2006-2026,provisional
2024-04-01,,,0.0,10193.47,8985.05,1208.42,Master 2006-2026,provisional
2024-04-02,14907.75,15355.04,-447.29,12163.4,10210.68,1952.72,Master 2006-2026,provisional
2024-04-03,14852.46,16107.38,-1254.92,13037.25,11934.84,1102.41,Master 2006-2026,provisional
2024-04-04,14011.85,14989.51,-977.66,12218.87,13111.98,-893.11,Master 2006-2026,provisional
2024-04-05,13097.09,11182.0,1915.09,9462.33,12832.75,-3370.42,Master 2006-2026,provisional
2024-04-08,31363.61,22837.05,8526.56,12727.46,9256.92,3470.54,Master 2006-2026,provisional
2024-04-09,,,0.0,11130.49,8873.31,2257.18,Master 2006-2026,provisional
2024-04-10,13829.69,10599.31,3230.38,12342.51,12179.15,163.36,Master 2006-2026,provisional
2024-04-12,15334.67,23274.44,-7939.77,17220.28,10878.75,6341.53,Master 2006-2026,provisional
2024-04-15,10735.3,13968.78,-3233.48,13578.59,8815.66,4762.93,Master 2006-2026,provisional
2024-04-16,10993.53,14258.26,-3264.73,13537.42,11497.04,2040.38,Master 2006-2026,provisional
2024-04-18,18545.07,22708.22,-4163.15,14273.71,11988.19,2285.52,Master 2006-2026,provisional
2024-04-19,16861.29,16088.52,772.77,9396.68,9449.18,-52.5,Master 2006-2026,provisional
2024-04-22,13322.3,15941.3,-2619.0,11855.59,8312.66,3542.93,Master 2006-2026,provisional
2024-04-23,15040.45,18498.57,-3458.12,12337.81,9418.87,2918.94,Master 2006-2026,provisional
2024-04-24,17197.5,12970.31,4227.19,12601.22,8791.32,3809.9,Master 2006-2026,provisional
2024-04-25,24313.74,24286.8,26.94,19088.02,12920.46,6167.56,Master 2006-2026,provisional
2024-04-26,15225.18,17598.02,-2372.84,14475.58,10118.75,4356.83,Master 2006-2026,provisional
2024-04-29,13838.91,13833.38,5.53,11746.82,11054.77,692.05,Master 2006-2026,provisional
